iter	Passed	Remaining
0	2	2981
1	3	1629
2	3	1169
3	3	948
4	4	807
5	4	712
6	4	642
7	4	589
8	4	549
9	5	516
10	5	490
11	5	467
12	5	447
13	6	430
14	6	416
15	6	404
16	6	393
17	7	384
18	7	374
19	7	366
20	7	358
21	7	352
22	8	349
23	8	343
24	8	337
25	8	333
26	9	328
27	9	325
28	9	322
29	9	320
30	10	318
31	10	314
32	10	311
33	10	308
34	11	305
35	11	302
36	11	300
37	11	297
38	11	295
39	12	294
40	12	295
41	12	294
42	13	293
43	13	291
44	13	289
45	13	287
46	14	285
47	14	283
48	14	282
49	14	281
50	15	279
51	15	277
52	15	276
53	15	274
54	15	273
55	16	272
56	16	270
57	16	269
58	16	268
59	17	267
60	17	267
61	17	266
62	17	264
63	18	263
64	18	262
65	18	261
66	18	260
67	18	259
68	19	258
69	19	257
70	19	256
71	20	259
72	20	258
73	20	257
74	20	256
75	21	255
76	21	254
77	21	254
78	21	253
79	21	252
80	22	251
81	22	250
82	22	247
83	22	247
84	22	246
85	23	245
86	23	244
87	23	243
88	23	243
89	23	242
90	24	241
91	24	241
92	24	240
93	24	240
94	25	239
95	25	238
96	25	238
97	25	237
98	26	236
99	26	236
100	26	235
101	26	235
102	26	234
103	27	234
104	27	234
105	27	233
106	27	233
107	28	232
108	28	231
109	28	231
110	28	230
111	29	229
112	29	229
113	29	228
114	29	228
115	29	227
116	30	227
117	30	226
118	30	226
119	30	225
120	31	225
121	31	224
122	31	224
123	31	223
124	31	223
125	32	223
126	32	222
127	32	221
128	33	224
129	33	224
130	33	223
131	33	223
132	34	222
133	34	222
134	34	221
135	34	221
136	35	221
137	35	220
138	35	220
139	35	220
140	36	219
141	36	218
142	36	218
143	36	217
144	36	217
145	37	217
146	37	216
147	37	216
148	37	216
149	38	216
150	38	216
151	38	216
152	38	215
153	39	215
154	39	215
155	39	214
156	39	214
157	40	214
158	40	214
159	40	213
160	40	212
161	41	212
162	41	212
163	41	211
164	41	211
165	42	211
166	42	210
167	42	210
168	42	210
169	42	209
170	43	209
171	43	209
172	43	209
173	44	208
174	44	208
175	44	208
176	44	208
177	44	207
178	45	207
179	45	207
180	45	206
181	45	206
182	46	206
183	46	205
184	46	205
185	46	205
186	47	204
187	47	205
188	47	204
189	47	204
190	48	204
191	48	203
192	48	203
193	48	203
194	49	202
195	49	202
196	49	202
197	49	201
198	50	201
199	50	201
200	50	200
201	50	200
202	51	200
203	51	199
204	51	199
